Aepyprymnus.rufescens	Aepyprymnus_rufescens
Bettongia.lesueur	Bettongia_lesueur
Bettongia.penicillata	Bettongia_penicillata
Dendrolagus.dorianus	Dendrolagus_dorianus
Dendrolagus.goodfellowi	Dendrolagus_goodfellowi
Dendrolagus.lumholtzi	Dendrolagus_lumholtzi
Dendrolagus.matschiei	Dendrolagus_matschiei
Dorcopsis.hageni	Dorcopsis_hageni
Dorcopsis.veterum	Dorcopsis_veterum
Dorcopsulus.vanheurni	Dorcopsulus_vanheurni
Hypsiprymnodon.moschatus	Hypsiprymnodon_moschatus
Lagorchestes.conspicillatus	Lagorchestes_conspicillatus
Lagorchestes.hirsutus	Lagorchestes_hirsutus
Lagostrophus.fasciatus 	Lagostrophus_fasciatus
Macropus.agilis	Macropus_agilis
Macropus.antilopinus	Macropus_antilopinus
Macropus.eugenii	Macropus_eugenii
Macropus.fuliginosus	Macropus_fuliginosus
Macropus.giganteus	Macropus_giganteus
Macropus.irma	Macropus_irma
Macropus.parma	Macropus_parma
Macropus.parryi	Macropus_parryi
Macropus.robustus	Macropus_robustus
Macropus.rufogriseus	Macropus_rufogriseus
Macropus.rufus	Macropus_rufus
Onychogalea.fraenata	Onychogalea_fraenata
Onychogalea.unguifera	Onychogalea_unguifera
Peradorcas.concinna	Peradorcas_concinna
Petrogale.assimilis	Petrogale_assimilis
Petrogale.brachyotis	Petrogale_brachyotis
Petrogale.burbidgei	Petrogale_burbidgei
Petrogale.herberti	Petrogale_herberti
Petrogale.inornata	Petrogale_inornata
Petrogale.lateralis	Petrogale_lateralis
Petrogale.penicillata	Petrogale_penicillata
Petrogale.persephone	Petrogale_persephone
Petrogale.purpureicollis	Petrogale_purpureicollis
Petrogale.rothschildi	Petrogale_rothschildi
Petrogale.xanthopus	Petrogale_xanthopus
Potorous.gilbertii	Potorous_gilbertii
Potorous.longipes	Potorous_longipes
Potorous.tridactylus	Potorous_tridactylus
Setonix.brachyurus	Setonix_brachyurus
Thylogale.billardierii	Thylogale_billardierii
Thylogale.browni	Thylogale_browni
Thylogale.brunii	Thylogale_brunii
Thylogale.stigmatica	Thylogale_stigmatica
Thylogale.thetis	Thylogale_thetis
Wallabia.bicolor	Wallabia_bicolor
Baringa.nelsonensis	Baringa_nelsonensis
Bohra.illuminata	Bohra_illuminata
Congruus.congruus	Congruus_congruus
Dorcopsoides.fossilis	Dorcopsoides_fossilis
Ganguroo.bilamina	Ganguroo_bilamina
Hadronomas.puckridgi	Hadronomas_puckridgi
Kurrabi.mahoneyi	Kurrabi_mahoneyi
Macropus.pavana	Macropus_pavana
Ngamaroo.archeri	Ngamaroo_archeri
Bulungamaya.delicata	Bulungamaya_delicata
Prionotemnus.palankarinnicus	Prionotemnus_palankarinnicus
Procoptodon.goliah	Procoptodon_goliah
Protemnodon.anak	Protemnodon_anak
Simosthenurus.occidentalis	Simosthenurus_occidentalis
Sthenurus.andersoni	Sthenurus_andersoni
Troposodon.minor	Troposodon_minor
Wanburoo.hilarus	Wanburoo_hilarus
