Taxon,HI,HI_Source,Diet_Guild,Guild_Source,Alt_Diet_Guild,min_HI,max_HI,mean_HI,lognormal_mean_error,lognormal_sd_error
Baringa_nelsonensis,1.325948038,Couzens & Prideaux 2018,Browser,Dawson 2006,NA,1.139959432,1.433862434,1.325948038,0.255807632,0.113996771
Baringa_sp_indet,1.139568249,Couzens & Prideaux 2018,Browser,Dawson 2006,NA,0.793103448,1.339407745,1.139568249,0.055689646,0.249494543
Bohra_bandharr,1.011976048,Couzens & Prideaux 2018,Unknown,NA,NA,1.011976048,1.011976048,1.011976048,0.011904903,NA
Bohra_illuminata,0.937313433,Couzens & Prideaux 2018,Unknown,NA,NA,0.937313433,0.937313433,0.937313433,-0.064737546,NA
Bohra_nullarbora,1.07229131,Couzens & Prideaux 2018,Unknown,NA,NA,0.996509599,1.148073022,1.07229131,0.067306672,0.070584682
Bohra_sp_indet,1.223463687,Couzens & Prideaux 2018,Unknown,NA,NA,1.223463687,1.223463687,1.223463687,0.201685924,NA
Bohra_wilkinsonorum_cf,0.767922236,Couzens & Prideaux 2018,Unknown,NA,NA,0.767922236,0.767922236,0.767922236,-0.264066807,NA
Congruus_indra,0.8528,Couzens & Prideaux 2018,Browser,Dawson 2006,NA,0.8528,0.8528,0.8528,-0.159230226,NA
Congruus_sp_indet,1.235294118,Couzens & Prideaux 2018,Unknown,NA,NA,1.235294118,1.235294118,1.235294118,0.211309094,NA
Dendrolagus_bennettianus,1.011588659,Couzens & Prideaux 2018,Browser,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA,0.977722772,1.045454545,1.011588659,0.010961953,0.033468548
Dendrolagus_dorianus,0.94,Janis 1990,Browser,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA,NA,NA,NA,NA,NA
Dendrolagus_goodfellowi,0.85,Janis 1990,Browser,Janis 1990; Arman & Prideaux 2015,NA,NA,NA,NA,NA,NA
Dendrolagus_inustus,0.889990907,Couzens & Prideaux 2018,Browser,Janis et al. 2016,NA,NA,NA,NA,NA,NA
Dendrolagus_lumholtzi,0.934272014,Couzens & Prideaux 2018,Browser,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA,0.747767857,1.094736842,0.934272014,-0.094617004,0.185986639
Dendrolagus_matschiei,0.91,Janis 1990,Browser,Janis 1990; Janis et al. 2016,NA,NA,NA,NA,NA,NA
Dendrolagus_ursinus,0.8,Janis 1990,Browser,Janis 1990,NA,0.760869565,1.07748184,0.889990907,-0.110009568,0.173732508
Dorcopsis_hageni,0.88,Janis 1990,Browser,Janis 1990; Janis et al. 2016,NA,NA,NA,NA,NA,NA
Dorcopsis_luctosa,1.072653077,Couzens & Prideaux 2018,Browser,Groves & Flannery 1989,NA,1.026490066,1.152019002,1.072653077,0.078686939,0.05853697
Dorcopsis_muelleri,1.195599022,Couzens & Prideaux 2018,Browser,Janis et al. 2016,NA,1.195599022,1.195599022,1.195599022,0.178647333,NA
Dorcopsis_sp_indet,0.983796296,Couzens & Prideaux 2018,Browser,NA,NA,0.983796296,0.983796296,0.983796296,-0.016336419,NA
Dorcopsis_veterum,1.02,Janis 1990,Browser,Janis 1990,NA,NA,NA,NA,NA,NA
Dorcopsoides_fossilis,0.755431404,Couzens & Prideaux 2018,Browser,NA,NA,0.638623327,0.86,0.755431404,-0.296627775,0.146602751
